Hospital_ID,District,City,State,City_Type,Hospital_Name,Reference_Period_AU595,Total_Beds,ICU_Beds,Non_ICU_Beds,Available_Beds,ICU_Rooms,General_Ward_Rooms,Private_Rooms,Semi_Private_Rooms,Emergency_Rooms,Operation_Theatres,Isolation_Rooms,Total_Rooms,Ventilators,Oxygen_Concentrators,ECG_Machines,Defibrillators,Pulse_Oximeters,CT_Scan,X_Ray_Machines,Ultrasound_Units,Blood_Analyzers,Patient_Monitors,Doctors_General_Physician,Doctors_Pulmonologist,Doctors_Cardiologist,Doctors_Intensivist,Doctors_Anesthesiologist,Doctors_Surgeon,Doctors_Radiologist,Doctors_Neurologist,Doctors_Orthopedic,Doctors_Pediatrician,Total_Doctors,Assurance_Available_Time,AU595_State_Rural_Hospitals,AU595_State_Urban_Hospitals,AU595_State_Total_Hospitals,AU595_State_Rural_Beds,AU595_State_Urban_Beds,AU595_State_Total_Beds
MH-1001,Mumbai City,Colaba,Maharashtra,Urban,City Health Care Colaba,31.08.2020,119,33,86,102,8,14,14,4,1,4,11,56,26,60,4,4,129,1,3,1,3,71,9,6,1,6,4,2,1,0,2,0,31,16 minutes,365,149,514,10950,22078,33028
MH-1002,Mumbai City,Colaba,Maharashtra,Urban,Central Hospital & ICU Colaba,31.08.2020,133,32,101,85,8,16,12,10,1,2,9,58,26,66,3,13,134,1,2,2,3,79,10,6,4,6,4,4,1,1,2,2,40,14 minutes,365,149,514,10950,22078,33028
MH-1003,Mumbai City,Colaba,Maharashtra,Urban,Sparsh Hospital Colaba,31.08.2020,137,52,85,131,13,14,13,5,1,5,16,67,42,70,9,21,142,1,1,2,2,82,10,12,3,10,6,5,1,0,0,1,48,13 minutes,365,149,514,10950,22078,33028
MH-1004,Mumbai City,Colaba,Maharashtra,Urban,Fortis Trauma Centre Colaba,31.08.2020,94,41,53,69,10,8,7,7,1,3,13,49,33,47,5,19,99,1,1,2,2,56,9,9,2,8,6,2,1,1,2,2,42,17 minutes,365,149,514,10950,22078,33028
MH-1005,Mumbai City,Fort,Maharashtra,Urban,Multispecialty Hospital Fort,31.08.2020,119,31,88,112,7,14,4,5,1,4,10,45,24,64,4,14,128,1,1,2,2,71,10,7,3,6,3,6,1,1,2,1,40,14 minutes,365,149,514,10950,22078,33028
MH-1006,Mumbai City,Fort,Maharashtra,Urban,Sapphire Medical Trust Fort,31.08.2020,120,42,78,88,10,13,12,5,1,2,12,55,33,65,6,21,128,1,3,1,1,72,10,8,5,8,5,5,2,1,0,0,44,11 minutes,365,149,514,10950,22078,33028
MH-1007,Mumbai City,Fort,Maharashtra,Urban,Ruby Hospital & ICU Fort,31.08.2020,134,37,97,130,9,16,12,8,1,5,14,65,31,68,4,16,142,1,1,2,3,80,11,8,2,7,4,6,2,1,2,2,45,13 minutes,365,149,514,10950,22078,33028
MH-1008,Mumbai City,Dadar,Maharashtra,Urban,Sapphire Super Speciality Hospital Dadar,31.08.2020,105,29,76,70,7,12,4,9,1,2,11,46,23,56,5,1,106,1,3,1,1,63,8,5,2,5,3,5,1,1,2,1,33,16 minutes,365,149,514,10950,22078,33028
MH-1009,Mumbai City,Dadar,Maharashtra,Urban,Multispecialty Hospital & ICU Dadar,31.08.2020,111,29,82,84,7,13,5,7,1,2,10,45,24,58,8,8,111,1,3,1,1,66,9,7,2,5,3,2,1,0,2,1,32,11 minutes,365,149,514,10950,22078,33028
MH-1010,Mumbai City,Dadar,Maharashtra,Urban,Synergy Health Care Dadar,31.08.2020,102,14,88,67,3,14,5,8,1,3,7,41,11,51,10,1,103,1,1,1,2,61,8,3,1,2,2,1,1,1,0,1,20,13 minutes,365,149,514,10950,22078,33028
MH-1011,Mumbai City,Dadar,Maharashtra,Urban,Ruby Medical Trust Dadar,31.08.2020,144,22,122,107,5,20,3,11,1,2,9,51,19,76,2,12,149,1,1,1,3,86,11,6,3,4,2,1,1,0,0,2,30,13 minutes,365,149,514,10950,22078,33028
